l_freq_filter,h_freq_filter,channels_to_drop,baseline_correction,projectors_to_apply,selected_frequency,tmin,tmax,detrend,reject,flat,ica_to_exclude,scaler,n_components,cov_est,log,model_type,trial_combo,sub_A,sub_C,sub_D,sub_E,sub_F,sub_G,sub_H,sub_J,sub_L
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,NN,"(1, 3)",0.5593220591545105,0.534246563911438,0.5070422291755676,0.52173912525177,0.637499988079071,0.6712328791618347,0.5517241358757019,0.6231883764266968,0.49367088079452515
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,LDA,"(1, 5)",0.5272727272727272,0.5633802816901409,0.6111111111111112,0.5217391304347826,0.6125,0.4931506849315068,0.5172413793103449,0.72,0.5128205128205128
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,LDA,"(1, 4)",0.47368421052631576,0.5882352941176471,0.6712328767123288,0.6571428571428571,0.6375,0.6056338028169014,0.5,0.7702702702702703,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,LDA,"(2, 4)",0.7833333333333333,0.5138888888888888,0.5068493150684932,0.5,0.6125,0.4864864864864865,0.5333333333333333,0.7857142857142857,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,concat,False,LDA,"(1, 3)",0.5084745762711864,0.5342465753424658,0.6619718309859155,0.5217391304347826,0.65,0.6301369863013698,0.5172413793103449,0.5362318840579711,0.5063291139240507
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,NN,"(1, 5)",0.4727272689342499,0.47887325286865234,0.5,0.49275362491607666,0.48750001192092896,0.5205479264259338,0.5,0.4933333396911621,0.5128205418586731
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,NN,"(1, 4)",0.5517241358757019,0.52173912525177,0.4931506812572479,0.5,0.5,0.5070422291755676,0.5344827771186829,0.5675675868988037,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,NN,"(2, 4)",0.60317462682724,0.465753436088562,0.5616438388824463,0.5142857432365417,0.512499988079071,0.5,0.4166666567325592,0.5,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,NN,"(1, 3)",0.44999998807907104,0.4794520437717438,0.577464759349823,0.6086956262588501,0.5,0.4931506812572479,0.5,0.6231883764266968,0.5063291192054749
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,LDA,"(1, 5)",0.5357142857142857,0.5,0.7083333333333334,0.6231884057971014,0.625,0.5068493150684932,0.5344827586206896,0.7733333333333333,0.5128205128205128
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,LDA,"(1, 4)",0.43333333333333335,0.6086956521739131,0.6712328767123288,0.5428571428571428,0.725,0.5070422535211268,0.5172413793103449,0.7534246575342466,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,LDA,"(2, 4)",0.6875,0.5068493150684932,0.5068493150684932,0.5428571428571428,0.6625,0.44594594594594594,0.4745762711864407,0.8405797101449275,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,True,LDA,"(1, 3)",0.5,0.547945205479452,0.5915492957746479,0.5217391304347826,0.6375,0.6438356164383562,0.5,0.4782608695652174,0.5189873417721519
